Designator,Mid X,Mid Y,Rotation,Layer
C1,179.33,-68.59,0.0,top
C10,115.86,-135.77,90.0,top
C11,116.35,-132.47,90.0,top
C12,170.7,-74.16,0.0,top
C13,159.275,-130.56,0.0,top
C14,158.675,-136.97,0.0,top
C15,145.58,-75.25,0.0,top
C16,146.105,-132.97,0.0,top
C17,154.855,-133.55,180.0,top
C18,153.48,-105.12,90.0,top
C19,168.88,-100.67,90.0,top
C2,150.805,-128.06,180.0,top
C20,167.95,-89.72,90.0,top
C21,130.9,-138.3,0.0,top
C22,118.26,-135.76,0.0,top
C23,170.3,-128.4,180.0,top
C24,130.08,-129.27,0.0,top
C25,143.055,-136.67,0.0,top
C26,171.8,-134.8,0.0,top
C3,153.805,-69.81,0.0,top
C4,174.7,-132.2,180.0,top
C5,130.93,-137.1,180.0,top
C6,147.74,-64.89,0.0,top
C7,157.05,-93.32,180.0,top
C8,143.33,-94.37,180.0,top
C9,141.38,-101.22,270.0,top
D1,160.7,-52.73,0.0,top
D2,160.7,-48.86,180.0,top
D3,160.55,-63.87,0.0,top
D4,160.56,-59.87,180.0,top
D5,166.25,-69.28,180.0,top
D6,140.25,-68.0,180.0,top
D7,127.0,-65.0,0.0,top
J1,133.66,-131.745,0.0,top
J2,183.88,-56.33,180.0,top
J3,186.3,-136.9,90.0,top
J4,143.3,-59.65,180.0,top
J5,130.06,-47.745,0.0,top
J7,120.96,-47.57,0.0,top
Q1,168.1,-53.3,270.0,top
Q2,168.32,-47.51,180.0,top
Q3,167.68,-59.59,0.0,top
Q4,167.7,-64.68,180.0,top
R1,177.7,-137.1,90.0,top
R10,157.0,-89.22,0.0,top
R11,158.53,-102.92,0.0,top
R12,130.27,-132.59,270.0,top
R13,175.3,-138.1,0.0,top
R14,165.0,-135.0,90.0,top
R15,155.0,-131.0,180.0,top
R16,182.0,-133.4625,270.0,top
R17,181.4,-138.4,0.0,top
R18,150.8,-129.2,180.0,top
R2,170.73,-72.36,0.0,top
R3,170.72,-70.86,0.0,top
R4,164.565,-133.08,180.0,top
R5,179.0,-132.0,180.0,top
R6,179.0,-134.0,180.0,top
R7,146.235,-137.2,180.0,top
R8,145.62,-73.75,0.0,top
R9,145.65,-72.25,0.0,top
SW1,168.975,-140.53,180.0,top
SW2,148.435,-140.46,0.0,top
SW3,135.805,-140.35,0.0,top
U1,169.095,-131.09,90.0,top
U10,163.975,-90.155,270.0,top
U11,165.58,-101.27,90.0,top
U12,175.0,-135.0,90.0,top
U2,161.195,-133.43,90.0,top
U3,179.11,-71.8,0.0,top
U4,124.59,-137.06,180.0,top
U6,148.53,-100.92,0.0,top
U7,146.0,-89.42,0.0,top
U8,153.57,-73.15,0.0,top
U9,150.965,-133.59,180.0,top
Y1,111.96,-133.42,180.0,top
